No.,Word,Valence_Mean,Valence_SD,Arousal_Mean,Arousal_SD,Frequency
52,隨便,4.2 ,0.980 ,5.2 ,0.400 ,203
53,隨意,5.6 ,0.490 ,4.2 ,0.980 ,133
54,豐富,6.8 ,0.748 ,5.6 ,1.020 ,674
55,願意,6.8 ,0.748 ,5.0 ,1.414 ,879
56,小心,4.6 ,1.020 ,6.0 ,0.894 ,435
57,分享,6.8 ,0.748 ,4.6 ,1.020 ,262
58,支持,7.2 ,0.400 ,5.0 ,1.789 ,966
59,支撐,5.6 ,1.020 ,5.6 ,1.855 ,117
60,付出,5.8 ,0.980 ,5.6 ,1.356 ,306
61,失去,3.2 ,0.400 ,6.4 ,1.356 ,563
62,失敗,2.2 ,1.166 ,7.2 ,1.166 ,323
63,打,3.2 ,0.748 ,6.6 ,0.800 ,1448
64,同意,6.4 ,0.490 ,4.4 ,1.200 ,598
65,成功,8.2 ,0.748 ,6.6 ,0.490 ,0
66,死,1.2 ,0.400 ,5.0 ,3.033 ,974
67,吸引,6.0 ,0.632 ,6.2 ,1.327 ,560
68,希望,7.0 ,0.632 ,5.2 ,1.720 ,3365
69,忘記,4.0 ,0.632 ,4.6 ,0.490 ,237
70,協助,6.6 ,0.490 ,4.6 ,1.020 ,830
71,抱,5.8 ,0.748 ,5.2 ,1.600 ,219
72,玩,5.6 ,1.497 ,5.8 ,0.980 ,896
73,信任,7.8 ,0.748 ,5.8 ,1.470 ,207
74,相信,7.2 ,0.980 ,5.4 ,1.356 ,1147
75,討厭,2.6 ,0.490 ,6.6 ,0.490 ,148
76,貢獻,7.4 ,1.020 ,5.6 ,1.020 ,302
77,逃避,3.0 ,0.000 ,6.0 ,0.632 ,148
78,喜愛,7.2 ,0.400 ,6.2 ,0.980 ,275
79,喜歡,7.0 ,0.632 ,5.8 ,0.980 ,1993
80,喪失,2.6 ,0.490 ,5.8 ,1.600 ,196
81,期望,6.0 ,0.000 ,5.2 ,1.166 ,226
82,答應,5.8 ,0.748 ,5.0 ,1.897 ,234
83,幹,1.0 ,0.000 ,8.8 ,0.400 ,199
84,愛,8.2 ,0.748 ,5.4 ,2.939 ,1553
85,愛好,7.0 ,0.000 ,5.6 ,1.200 ,108
86,感謝,7.4 ,0.490 ,5.6 ,1.744 ,243
87,損失,3.2 ,0.400 ,5.2 ,0.400 ,208
88,經歷,5.0 ,0.000 ,4.8 ,0.980 ,267
89,遇到,5.0 ,0.000 ,4.2 ,0.980 ,408
90,遊戲,5.8 ,1.166 ,4.8 ,1.720 ,478
91,鼓勵,7.0 ,0.000 ,6.2 ,0.748 ,906
92,適合,5.6 ,1.020 ,3.8 ,1.470 ,667
93,擔心,3.4 ,0.490 ,6.6 ,0.800 ,609
94,輸,3.0 ,0.894 ,4.4 ,1.200 ,155
95,錯過,3.6 ,0.490 ,4.4 ,0.800 ,114
96,幫忙,6.4 ,0.490 ,5.0 ,1.095 ,297
97,幫助,6.6 ,0.490 ,5.6 ,1.020 ,621
98,應付,4.2 ,0.400 ,5.4 ,1.625 ,163
99,謝謝,6.6 ,0.800 ,5.8 ,0.748 ,833
100,懷念,6.0 ,0.632 ,5.6 ,1.356 ,114
101,關心,6.4 ,0.490 ,6.0 ,0.894 ,664
102,關懷,6.8 ,0.400 ,6.4 ,1.200 ,341
103,贏,7.2 ,0.980 ,7.0 ,1.265 ,137
104,贏得,7.4 ,1.020 ,7.0 ,1.265 ,197
105,下流,2.2 ,0.748 ,7.6 ,1.200 ,7
106,王八蛋,1.4 ,0.490 ,8.6 ,0.490 ,0
107,他媽的,1.4 ,0.490 ,8.4 ,0.800 ,19
108,白目,2.2 ,0.748 ,7.2 ,1.166 ,0
109,白癡,2.2 ,0.748 ,7.4 ,1.020 ,5
110,呸,2.4 ,0.800 ,7.4 ,1.020 ,5
111,垃圾,2.2 ,0.748 ,7.4 ,1.020 ,532
112,怪胎,2.4 ,0.800 ,7.0 ,1.414 ,6
113,放屁,2.6 ,1.020 ,7.0 ,1.673 ,4
114,狗屁,2.4 ,1.020 ,7.6 ,1.020 ,4
115,淫婦,1.8 ,0.400 ,7.8 ,1.166 ,0
116,混蛋,2.0 ,0.894 ,8.0 ,0.894 ,9
117,笨蛋,3.0 ,0.000 ,5.6 ,1.020 ,8
118,媽的,2.2 ,0.748 ,7.6 ,1.020 ,0
119,愚蠢,2.8 ,0.400 ,6.0 ,1.673 ,28
120,該死,2.6 ,1.020 ,7.6 ,1.200 ,10
121,賤,2.2 ,0.980 ,7.2 ,1.166 ,32
122,賤人,2.0 ,0.632 ,7.8 ,0.980 ,0
123,賤貨,1.8 ,0.748 ,8.2 ,0.748 ,0
124,操,2.0 ,0.632 ,8.0 ,0.894 ,58
125,蕩婦,1.8 ,0.748 ,7.8 ,0.980 ,0
126,蹩腳,3.6 ,0.800 ,5.2 ,1.939 ,0
127,壞蛋,3.0 ,0.632 ,6.4 ,1.356 ,12
128,爛貨,2.2 ,0.748 ,6.8 ,1.720 ,0
129,白痴,2.4 ,0.800 ,6.4 ,1.625 ,20
130,八卦,3.4 ,0.490 ,4.6 ,1.855 ,18
131,仇人,2.2 ,0.400 ,7.2 ,0.980 ,10
132,仇恨,2.2 ,0.748 ,7.8 ,0.748 ,34
133,仇敵,2.0 ,0.632 ,7.6 ,1.020 ,0
134,分擔,5.6 ,0.490 ,4.4 ,1.356 ,53
135,友,6.4 ,0.490 ,4.2 ,0.980 ,57
136,反駁,3.8 ,0.400 ,6.4 ,0.490 ,46
137,打岔,3.8 ,0.400 ,4.2 ,1.470 ,9
138,打架,2.6 ,0.490 ,7.6 ,0.490 ,76
139,打斷,4.0 ,0.632 ,4.6 ,1.855 ,53
140,交往,6.4 ,0.490 ,5.2 ,1.720 ,172
141,同情,5.4 ,0.800 ,4.2 ,0.980 ,131
142,安心,5.6 ,0.490 ,2.4 ,1.497 ,95
143,伴侶,7.0 ,0.000 ,4.6 ,2.245 ,43
144,忌妒,3.0 ,0.632 ,6.8 ,0.980 ,8
145,批評,3.2 ,0.748 ,7.6 ,0.490 ,242
146,抗議,3.2 ,0.748 ,7.8 ,0.748 ,332
147,取笑,3.6 ,0.490 ,6.2 ,0.748 ,16
148,坦白,6.0 ,0.632 ,5.6 ,1.020 ,60
149,奉承,3.6 ,0.490 ,5.6 ,1.200 ,9
150,奉獻,6.8 ,0.400 ,6.0 ,0.894 ,95
151,抱怨,2.8 ,0.400 ,6.6 ,0.490 ,190
152,拒絕,3.0 ,0.632 ,6.6 ,1.020 ,329
153,放心,6.2 ,0.400 ,3.2 ,1.327 ,138
154,朋友,6.8 ,0.748 ,4.2 ,1.166 ,1818
155,爭吵,3.4 ,0.490 ,6.6 ,1.020 ,43
156,爭論,3.8 ,0.748 ,6.6 ,0.800 ,31
157,知己,7.2 ,0.400 ,4.8 ,1.327 ,31
158,侮辱,2.4 ,1.020 ,7.6 ,0.800 ,53
159,信服,6.4 ,0.490 ,5.4 ,0.800 ,20
160,信賴,7.2 ,0.400 ,5.4 ,1.497 ,84
161,冒犯,3.2 ,0.748 ,7.0 ,0.894 ,12
162,怨恨,2.0 ,0.632 ,7.8 ,0.400 ,26
163,指責,3.4 ,0.490 ,6.8 ,0.400 ,126
164,原諒,5.8 ,0.980 ,4.2 ,1.470 ,103
165,辱罵,2.4 ,1.020 ,7.0 ,1.673 ,7
166,鬥爭,3.0 ,0.632 ,7.4 ,0.490 ,156
167,情人,6.8 ,0.980 ,6.6 ,0.490 ,79
168,甜心,6.8 ,0.748 ,6.0 ,1.414 ,0
169,責備,3.4 ,0.490 ,6.4 ,0.800 ,33
170,逗弄,5.4 ,1.020 ,5.4 ,1.020 ,7
171,插嘴,3.6 ,0.490 ,5.6 ,1.497 ,9
172,款待,6.2 ,0.400 ,5.4 ,1.356 ,20
173,詛咒,2.2 ,0.980 ,7.4 ,1.020 ,14
174,開玩笑,6.2 ,0.748 ,5.2 ,1.166 ,105
175,閒話,4.0 ,0.632 ,4.4 ,1.356 ,8
176,愛人,7.2 ,0.400 ,6.8 ,1.166 ,34
177,愛戀,7.6 ,0.800 ,6.8 ,0.400 ,11
178,隔離,3.4 ,0.490 ,5.0 ,1.414 ,62
179,嘉獎,6.8 ,0.400 ,5.8 ,0.748 ,4
180,稱讚,6.8 ,0.400 ,6.0 ,0.632 ,79
181,說服,5.0 ,0.632 ,4.2 ,1.470 ,80
182,說長道短,3.2 ,0.400 ,5.0 ,0.894 ,0
183,駁斥,2.8 ,0.748 ,7.2 ,0.400 ,11
184,嘲弄,2.6 ,0.800 ,6.2 ,0.748 ,20
185,嘲笑,2.6 ,0.800 ,6.6 ,0.490 ,28
186,嘲罵,2.6 ,0.800 ,7.4 ,0.800 ,0
187,嘲諷,2.6 ,0.490 ,7.4 ,0.800 ,34
188,寬恕,6.2 ,0.400 ,4.6 ,1.356 ,27
189,慶典,6.6 ,0.490 ,5.6 ,1.497 ,49
190,慶祝,7.0 ,0.000 ,6.4 ,1.200 ,232
191,憐憫,5.8 ,1.166 ,5.0 ,1.414 ,19
192,摯友,7.4 ,0.490 ,5.2 ,1.833 ,0
193,敵人,3.0 ,0.632 ,6.0 ,1.549 ,159
194,樂意,6.8 ,0.400 ,5.4 ,1.625 ,50
195,熱愛,7.2 ,0.400 ,7.0 ,0.632 ,92
196,調情,5.4 ,1.356 ,6.8 ,0.748 ,6
197,諂媚,3.4 ,0.490 ,5.6 ,1.356 ,0
198,親切,7.0 ,0.632 ,5.0 ,1.549 ,127
199,親愛,7.4 ,0.490 ,6.0 ,1.265 ,46
200,親愛的,7.2 ,0.400 ,6.4 ,1.356 ,25
201,幫手,6.4 ,0.490 ,4.8 ,0.980 ,21
202,戲弄,3.4 ,0.490 ,6.2 ,0.980 ,11
203,鍾愛,7.0 ,0.632 ,6.6 ,1.497 ,18
204,歸咎,3.2 ,0.400 ,5.6 ,0.490 ,5
205,離婚,2.4 ,1.020 ,5.8 ,1.327 ,159
206,懷疑,3.8 ,0.400 ,4.4 ,0.490 ,369
207,譏,3.2 ,0.400 ,6.0 ,0.894 ,0
208,寶貝,7.4 ,0.800 ,6.4 ,1.020 ,80
209,饒恕,5.6 ,0.800 ,5.0 ,1.789 ,0
210,譴責,3.0 ,0.632 ,7.2 ,0.400 ,47
211,歡迎,7.2 ,0.400 ,6.4 ,0.800 ,871
212,歡送,6.0 ,0.632 ,6.2 ,1.166 ,8
213,歡聚,7.2 ,0.980 ,6.2 ,1.470 ,0
214,戀人,7.0 ,0.000 ,5.8 ,1.470 ,27
215,戀愛,7.6 ,0.800 ,6.4 ,1.625 ,90
216,讚美,7.0 ,0.632 ,5.6 ,1.855 ,66
217,讚揚,7.6 ,0.490 ,6.6 ,1.855 ,19
218,讚譽,7.6 ,0.490 ,6.8 ,1.720 ,11
219,ㄏㄏ,5.8 ,0.400 ,4.6 ,1.625 ,0
220,一無所有,2.4 ,1.020 ,4.4 ,2.245 ,15
221,七竅生煙,2.2 ,1.166 ,7.8 ,1.166 ,0
222,了不起,7.0 ,1.095 ,6.4 ,0.800 ,127
223,人心惶惶,2.6 ,1.020 ,7.4 ,1.020 ,15
224,上級,4.8 ,0.400 ,4.4 ,1.744 ,123
225,上當,3.2 ,1.166 ,6.2 ,1.720 ,43
226,下定決心,6.2 ,0.748 ,6.8 ,1.600 ,30
227,口吃,3.8 ,0.748 ,4.0 ,1.673 ,19
228,大方,6.4 ,0.490 ,5.2 ,1.166 ,42
229,大笑,6.4 ,1.020 ,6.8 ,0.400 ,97
230,大膽,5.4 ,0.490 ,6.2 ,1.470 ,127
231,小氣,3.6 ,0.490 ,4.6 ,1.356 ,20
232,小偷,3.2 ,0.748 ,5.6 ,1.497 ,28
233,才能,6.6 ,0.800 ,4.6 ,1.356 ,83
234,才智,7.0 ,0.632 ,4.6 ,1.356 ,20
235,不仁,3.0 ,1.095 ,5.8 ,1.166 ,5
236,不貞,2.8 ,0.980 ,6.8 ,1.327 ,0
237,不顧一切,4.6 ,1.020 ,7.8 ,0.980 ,10
238,中斷,4.6 ,0.490 ,3.6 ,1.744 ,54
239,仁心,7.4 ,0.490 ,5.2 ,2.315 ,0
240,仁術,7.4 ,0.490 ,5.0 ,2.280 ,0
241,仁愛,7.8 ,0.400 ,5.2 ,2.638 ,34
242,仁慈,7.8 ,0.748 ,5.2 ,2.638 ,7
243,仁義,7.4 ,0.490 ,5.4 ,2.417 ,18
244,仇,2.4 ,1.020 ,6.0 ,0.894 ,21
245,仇殺,1.4 ,0.490 ,8.2 ,0.748 ,0
246,仇視,2.0 ,0.632 ,7.6 ,1.020 ,0
247,元兇,2.2 ,0.748 ,6.4 ,1.960 ,0
248,內疚,3.0 ,1.095 ,5.0 ,2.098 ,20
249,公憤,2.4 ,0.800 ,8.0 ,0.894 ,0
250,凶,2.8 ,1.166 ,7.2 ,0.980 ,18
251,分心,4.0 ,0.632 ,4.4 ,2.417 ,14
252,分手,2.8 ,1.166 ,6.4 ,1.855 ,99
253,分歧,3.2 ,0.748 ,5.6 ,1.625 ,41
254,分紅,6.2 ,0.748 ,4.4 ,1.625 ,6
255,分散,4.4 ,0.800 ,3.8 ,1.470 ,141
256,分裂,3.6 ,0.800 ,5.8 ,2.040 ,114
257,勾引,3.8 ,0.400 ,6.4 ,0.800 ,5
258,厄運,3.0 ,0.632 ,5.8 ,1.470 ,21
259,及時,6.4 ,0.490 ,5.4 ,1.020 ,113
260,反抗,3.6 ,0.800 ,6.6 ,0.800 ,100
261,反叛,2.8 ,0.980 ,6.4 ,2.154 ,24
262,反派,3.2 ,0.400 ,5.0 ,1.673 ,0
263,反感,3.6 ,0.490 ,5.2 ,1.470 ,33
264,反對,3.4 ,0.800 ,6.2 ,1.166 ,644
265,天才,6.8 ,0.400 ,5.4 ,0.800 ,90
266,天堂,7.0 ,0.894 ,5.4 ,1.625 ,116
267,天資,5.8 ,0.748 ,4.4 ,1.744 ,25
268,天賦,6.0 ,0.894 ,4.4 ,1.744 ,40
269,幻想,4.6 ,0.490 ,4.2 ,0.980 ,127
270,引人注目,5.8 ,0.980 ,6.4 ,0.490 ,33
271,引誘,3.8 ,0.748 ,6.4 ,1.020 ,43
272,心灰意冷,2.8 ,0.400 ,3.6 ,1.744 ,11
273,心神不定,3.2 ,0.400 ,6.6 ,0.800 ,0
274,心神不寧,3.2 ,0.400 ,6.8 ,0.748 ,10
275,心情,5.0 ,0.000 ,3.6 ,1.744 ,627
276,心痛,2.6 ,1.020 ,7.2 ,0.980 ,29
277,心愛,7.2 ,0.980 ,6.4 ,1.497 ,44
278,心煩意亂,3.0 ,0.632 ,7.4 ,0.490 ,4
279,心碎,2.2 ,0.748 ,8.0 ,0.894 ,12
280,心酸,2.8 ,0.748 ,6.8 ,1.470 ,16
281,支配,4.6 ,0.490 ,5.2 ,0.748 ,66
282,欠債,3.4 ,0.490 ,4.6 ,1.020 ,0
283,毛骨悚然,2.2 ,1.166 ,8.0 ,0.894 ,8
284,火熱,6.4 ,1.200 ,7.2 ,1.166 ,14
285,世仇,1.8 ,0.748 ,8.2 ,0.400 ,5
286,乏味,3.4 ,0.800 ,3.0 ,1.414 ,25
287,仔細,6.2 ,0.748 ,3.8 ,1.166 ,374
288,充沛,6.6 ,0.490 ,6.0 ,1.095 ,35
289,出色,7.2 ,0.400 ,5.6 ,1.497 ,65
290,功勞,6.8 ,0.748 ,5.4 ,1.960 ,0
291,古怪,4.2 ,0.400 ,4.8 ,0.748 ,18
292,可口,6.4 ,0.490 ,5.8 ,0.980 ,39
293,可怕,3.4 ,0.490 ,6.8 ,0.400 ,201
294,可恥,2.4 ,1.020 ,7.2 ,0.980 ,14
295,可笑,3.0 ,0.632 ,6.6 ,0.800 ,39
296,可悲,2.6 ,0.490 ,6.4 ,1.020 ,21
297,可惡,2.4 ,0.800 ,7.2 ,1.166 ,44
298,可愛,7.0 ,0.632 ,6.2 ,1.166 ,396
299,可鄙,2.4 ,0.800 ,7.4 ,0.800 ,0
300,可憎,2.4 ,0.800 ,7.2 ,1.166 ,4
301,可憐,3.6 ,0.490 ,5.2 ,1.470 ,229
302,可靠,6.8 ,0.748 ,5.2 ,1.327 ,91
303,外向,6.0 ,0.632 ,5.8 ,1.166 ,9
304,外行,3.8 ,0.400 ,4.6 ,1.356 ,14
305,外傷,3.6 ,1.020 ,6.2 ,1.166 ,22
306,失眠,3.0 ,0.894 ,3.6 ,1.855 ,22
307,失控,2.4 ,1.020 ,7.8 ,0.748 ,37
308,失望,3.0 ,0.632 ,5.6 ,1.356 ,211
309,失誤,3.6 ,0.490 ,5.4 ,1.625 ,67
310,平安,7.2 ,0.400 ,3.4 ,1.497 ,142
311,平和,7.0 ,0.632 ,2.8 ,1.720 ,45
312,平庸,4.6 ,0.800 ,3.0 ,1.414 ,6
313,平靜,6.4 ,1.020 ,2.4 ,1.497 ,148
314,平穩,5.8 ,0.400 ,3.4 ,1.356 ,41
315,打仗,3.0 ,0.894 ,7.6 ,0.490 ,44
316,打倒,3.4 ,0.490 ,6.6 ,1.020 ,33
317,打破,4.0 ,0.632 ,6.2 ,1.166 ,261
318,打情罵俏,4.6 ,0.490 ,6.6 ,0.800 ,0
319,打敗,6.2 ,1.166 ,6.0 ,0.894 ,71
320,打擊,4.2 ,0.748 ,6.8 ,1.327 ,137
321,打擾,3.6 ,0.490 ,5.6 ,2.059 ,31
322,打攪,3.6 ,0.490 ,5.6 ,2.059 ,4
323,末日,1.8 ,0.748 ,6.8 ,2.227 ,12
324,正面,6.6 ,0.490 ,4.6 ,1.356 ,226
325,生命力,6.8 ,0.748 ,5.8 ,1.166 ,105
326,生氣,5.4 ,1.625 ,5.8 ,1.470 ,283
327,生氣勃勃,7.0 ,0.000 ,6.8 ,1.600 ,4
328,生病,3.4 ,0.490 ,4.0 ,0.894 ,130
329,生動,6.4 ,0.490 ,5.8 ,0.980 ,119
330,生疏,3.8 ,0.400 ,3.4 ,1.356 ,8
331,生厭,3.4 ,0.490 ,5.8 ,1.166 ,4
332,用力,5.0 ,0.000 ,7.0 ,0.000 ,84
333,目瞪口呆,5.0 ,0.000 ,7.4 ,1.356 ,20
334,矛盾,4.2 ,0.400 ,4.6 ,1.356 ,282
335,丟人,2.8 ,0.400 ,6.0 ,1.095 ,0
336,丟人現眼,2.4 ,0.800 ,6.8 ,0.980 ,0
337,丟下,2.8 ,1.166 ,5.4 ,2.245 ,31
338,丟棄,3.0 ,1.095 ,5.6 ,1.960 ,37
339,丟臉,3.0 ,0.632 ,5.8 ,1.600 ,22
340,交戰,4.0 ,0.632 ,7.4 ,0.800 ,18
341,任性,3.4 ,0.490 ,5.4 ,1.356 ,29
342,兇,3.4 ,0.800 ,7.2 ,0.748 ,58
343,光亮,5.8 ,0.748 ,4.6 ,1.625 ,21
344,光榮,6.8 ,0.400 ,6.2 ,1.166 ,66
345,光輝,6.6 ,0.490 ,5.8 ,1.166 ,60
346,劣,3.0 ,0.894 ,5.0 ,0.632 ,10
347,危,3.2 ,0.980 ,6.6 ,1.020 ,27
348,吃醋,3.6 ,0.490 ,6.6 ,0.800 ,0
349,吃驚,3.8 ,1.166 ,7.8 ,0.400 ,49
350,合宜,6.2 ,0.400 ,4.4 ,1.625 ,18
351,回春,6.2 ,0.400 ,4.8 ,1.600 ,0
352,多情,4.2 ,1.327 ,6.0 ,1.095 ,19
353,多疑,3.8 ,0.400 ,6.0 ,0.632 ,6
354,好玩,6.2 ,0.400 ,5.8 ,1.166 ,145
355,好笑,6.2 ,0.748 ,6.4 ,0.800 ,86
356,好處,6.2 ,0.400 ,5.0 ,1.673 ,305
357,好棒,7.2 ,1.166 ,6.6 ,1.356 ,25
358,好運,6.6 ,0.490 ,5.2 ,1.720 ,12
359,妄想,3.2 ,0.748 ,6.0 ,1.414 ,14
360,安全,6.4 ,0.490 ,4.4 ,1.200 ,1006
361,安逸,6.0 ,0.632 ,3.4 ,1.497 ,9
362,安寧,6.2 ,0.748 ,2.8 ,1.327 ,58
363,安靜,5.6 ,0.800 ,2.4 ,1.497 ,118
364,安穩,6.0 ,0.632 ,2.6 ,1.625 ,19
365,成見,3.8 ,0.400 ,5.2 ,1.327 ,44
366,成就,7.0 ,0.000 ,6.2 ,1.470 ,374
367,收穫,6.8 ,0.400 ,5.6 ,1.497 ,153
368,曲解,3.4 ,0.490 ,6.0 ,1.414 ,7
369,有力,6.0 ,0.894 ,6.0 ,0.894 ,96
370,有用,6.4 ,0.490 ,5.2 ,1.327 ,155
371,有利,5.8 ,0.980 ,5.4 ,1.356 ,168
372,有助,6.4 ,0.490 ,5.2 ,1.600 ,36
373,有害,3.4 ,0.490 ,5.6 ,1.020 ,49
374,有效,6.6 ,0.800 ,5.0 ,1.549 ,790
375,有益,6.6 ,0.800 ,5.0 ,1.549 ,57
376,有趣,7.0 ,0.632 ,5.6 ,1.497 ,394
377,有錢,6.4 ,0.490 ,5.4 ,1.855 ,164
378,次要,4.6 ,0.490 ,5.0 ,1.095 ,29
379,次等,4.0 ,0.000 ,4.6 ,0.800 ,7
380,死人,2.2 ,0.748 ,7.0 ,1.414 ,31
381,死亡,2.2 ,0.748 ,6.8 ,1.470 ,397
382,死不,3.8 ,1.304 ,5.6 ,0.894 ,0
383,死心,2.4 ,0.490 ,5.8 ,2.227 ,14
384,死刑,2.4 ,1.020 ,7.2 ,1.327 ,37
385,死氣,3.0 ,0.632 ,5.8 ,1.720 ,0
386,死期,2.8 ,1.166 ,6.6 ,1.625 ,0
387,死當,3.0 ,1.095 ,6.4 ,1.497 ,0
388,死路,3.2 ,0.980 ,5.0 ,1.673 ,0
389,死對頭,2.6 ,1.356 ,7.4 ,1.020 ,6
390,污穢,2.4 ,1.200 ,7.2 ,0.980 ,15
391,灰心,3.6 ,0.490 ,4.6 ,1.356 ,36
392,百感交集,3.4 ,1.020 ,7.2 ,0.980 ,6
393,自大,3.0 ,0.632 ,6.6 ,1.497 ,31
394,自甘墮落,2.6 ,0.800 ,5.2 ,1.939 ,7
395,自由,6.6 ,0.490 ,5.2 ,1.939 ,674
396,自在,6.8 ,0.748 ,4.6 ,2.245 ,141
397,自私,3.2 ,0.748 ,4.6 ,0.800 ,74
398,自卑,2.6 ,0.800 ,3.8 ,1.470 ,47
399,自信,7.0 ,0.632 ,5.6 ,1.020 ,98
400,自負,4.6 ,1.200 ,6.0 ,1.095 ,14
401,自責,3.6 ,0.800 ,5.2 ,1.166 ,19
402,自尊,5.4 ,0.490 ,4.8 ,1.600 ,47
403,自豪,6.6 ,0.490 ,6.0 ,0.894 ,45
404,自鳴得意,4.2 ,0.400 ,5.0 ,1.897 ,0
405,自暴自棄,2.0 ,0.894 ,7.0 ,2.098 ,17
406,至高無上,7.6 ,1.200 ,6.8 ,1.470 ,12
407,至善,7.6 ,0.800 ,6.0 ,2.191 ,12
408,色情,2.8 ,0.980 ,6.2 ,1.720 ,120
409,伶俐,6.8 ,0.748 ,5.0 ,1.673 ,10
410,低沉,4.6 ,0.490 ,3.4 ,1.855 ,12
411,低能,2.6 ,0.800 ,4.6 ,1.855 ,0
412,低能兒,2.6 ,1.020 ,4.8 ,1.600 ,0
413,低迷,3.6 ,0.800 ,3.2 ,1.470 ,59
414,低落,3.8 ,0.400 ,3.0 ,1.414 ,63
415,佔便宜,3.6 ,0.490 ,4.4 ,1.356 ,6
416,作嘔,2.6 ,1.020 ,7.4 ,1.020 ,4
417,作弊,2.0 ,1.095 ,6.4 ,1.497 ,47
418,克制,5.0 ,0.632 ,5.0 ,1.673 ,27
419,免費,6.2 ,1.166 ,4.8 ,2.135 ,332
420,冷,3.6 ,1.020 ,4.4 ,0.800 ,263
421,冷淡,3.0 ,0.632 ,3.6 ,0.800 ,28
422,冷酷,2.4 ,1.020 ,5.4 ,1.855 ,19
423,冷靜,5.2 ,0.400 ,4.4 ,2.245 ,123
424,利己,5.6 ,1.020 ,4.8 ,0.980 ,12
425,利益,6.2 ,0.748 ,5.0 ,1.673 ,578
426,利潤,6.6 ,0.800 ,5.4 ,1.625 ,199
427,吝嗇,3.4 ,0.800 ,4.6 ,1.020 ,15
428,含糊,3.8 ,0.400 ,4.2 ,0.980 ,35
429,吹毛求疵,3.2 ,0.400 ,5.6 ,0.800 ,4
430,吻,7.2 ,0.980 ,7.6 ,0.800 ,34
431,呆,3.8 ,0.748 ,3.8 ,1.600 ,49
432,困,3.8 ,0.748 ,4.4 ,1.497 ,20
433,坎坷,2.0 ,0.632 ,4.8 ,2.561 ,29
434,壯闊,6.8 ,0.748 ,6.0 ,1.549 ,13
